# VAR1,VAR2,VAR3,VAR4,VAR5,VAR6,VAR7,VAR8,VAR9,VAR10,VAR11,VAR12,VAR13,VAR14,VAR15,VAR16,VAR17,VAR18,VAR19,VAR20,VAR21,VAR22,VAR23,VAR24,VAR25,VAR26,VAR27,VAR28,VAR29,VAR30,VAR31,VAR32,VAR33,VAR34,VAR35,VAR36,VAR37,VAR38
12.005,-1.903683823,12.005,-1.903683823,12.005,-1.903683823,12.005,-1.903683823,12.005,-1.903683823,12.005,-1.903683823,12.005,-1.903683823,12.005,-1.903683823,12.005,-1.903683823,12.005,-1.903683823,12.005,-1.903683823,12.005,-1.903683823,12.005,-1.903683823,12.005,-1.903683823,12.005,-1.903683823,12.005,-1.903683823,12.005,-1.903683823,12.005,-1.903683823,12.005,-1.903683823
12.505,-1.903683439,12.505,-1.903683439,12.505,-1.903683439,12.505,-1.903683439,12.505,-1.903683439,12.505,-1.903683439,12.505,-1.903683439,12.505,-1.903683439,12.505,-1.903683439,12.505,-1.903683439,12.505,-1.903683439,12.505,-1.903683439,12.505,-1.903683439,12.505,-1.903683439,12.505,-1.903683439,12.505,-1.903683439,12.505,-1.903683439,12.505,-1.903683439,12.505,-1.903683439
13.005,-1.903683057,13.005,-1.903683057,13.005,-1.903683057,13.005,-1.903683057,13.005,-1.903683057,13.005,-1.903683057,13.005,-1.903683057,13.005,-1.903683057,13.005,-1.903683057,13.005,-1.903683057,13.005,-1.903683057,13.005,-1.903683057,13.005,-1.903683057,13.005,-1.903683057,13.005,-1.903683057,13.005,-1.903683057,13.005,-1.903683057,13.005,-1.903683057,13.005,-1.903683057
13.505,-1.903682676,13.505,-1.903682676,13.505,-1.903682676,13.505,-1.903682676,13.505,-1.903682676,13.505,-1.903682676,13.505,-1.903682676,13.505,-1.903682676,13.505,-1.903682676,13.505,-1.903682676,13.505,-1.903682676,13.505,-1.903682676,13.505,-1.903682676,13.505,-1.903682676,13.505,-1.903682676,13.505,-1.903682676,13.505,-1.903682676,13.505,-1.903682676,13.505,-1.903682676
14.005,-1.903682296,14.005,-1.903682296,14.005,-1.903682296,14.005,-1.903682296,14.005,-1.903682296,14.005,-1.903682296,14.005,-1.903682296,14.005,-1.903682296,14.005,-1.903682296,14.005,-1.903682296,14.005,-1.903682296,14.005,-1.903682296,14.005,-1.903682296,14.005,-1.903682296,14.005,-1.903682296,14.005,-1.903682296,14.005,-1.903682296,14.005,-1.903682296,14.005,-1.903682296
14.505,-1.903681917,14.505,-1.903681917,14.505,-1.903681917,14.505,-1.903681917,14.505,-1.903681917,14.505,-1.903681917,14.505,-1.903681917,14.505,-1.903681917,14.505,-1.903681917,14.505,-1.903681917,14.505,-1.903681917,14.505,-1.903681917,14.505,-1.903681917,14.505,-1.903681917,14.505,-1.903681917,14.505,-1.903681917,14.505,-1.903681917,14.505,-1.903681917,14.505,-1.903681917
15.005,-1.903681539,15.005,-1.903681539,15.005,-1.903681539,15.005,-1.903681539,15.005,-1.903681539,15.005,-1.903681539,15.005,-1.903681539,15.005,-1.903681539,15.005,-1.903681539,15.005,-1.903681539,15.005,-1.903681539,15.005,-1.903681539,15.005,-1.903681539,15.005,-1.903681539,15.005,-1.903681539,15.005,-1.903681539,15.005,-1.903681539,15.005,-1.903681539,15.005,-1.903681539
15.505,-1.903681163,15.505,-1.903681163,15.505,-1.903681163,15.505,-1.903681163,15.505,-1.903681163,15.505,-1.903681163,15.505,-1.903681163,15.505,-1.903681163,15.505,-1.903681163,15.505,-1.903681163,15.505,-1.903681163,15.505,-1.903681163,15.505,-1.903681163,15.505,-1.903681163,15.505,-1.903681163,15.505,-1.903681163,15.505,-1.903681163,15.505,-1.903681163,15.505,-1.903681163
16.005,-1.903680788,16.005,-1.903680788,16.005,-1.903680788,16.005,-1.903680788,16.005,-1.903680788,16.005,-1.903680788,16.005,-1.903680788,16.005,-1.903680788,16.005,-1.903680788,16.005,-1.903680788,16.005,-1.903680788,16.005,-1.903680788,16.005,-1.903680788,16.005,-1.903680788,16.005,-1.903680788,16.005,-1.903680788,16.005,-1.903680788,16.005,-1.903680788,16.005,-1.903680788
16.505,-1.903680414,16.505,-1.903680414,16.505,-1.903680414,16.505,-1.903680414,16.505,-1.903680414,16.505,-1.903680414,16.505,-1.903680414,16.505,-1.903680414,16.505,-1.903680414,16.505,-1.903680414,16.505,-1.903680414,16.505,-1.903680414,16.505,-1.903680414,16.505,-1.903680414,16.505,-1.903680414,16.505,-1.903680414,16.505,-1.903680414,16.505,-1.903680414,16.505,-1.903680414
17.005,-1.903680042,17.005,-1.903680042,17.005,-1.903680042,17.005,-1.903680042,17.005,-1.903680042,17.005,-1.903680042,17.005,-1.903680042,17.005,-1.903680042,17.005,-1.903680042,17.005,-1.903680042,17.005,-1.903680042,17.005,-1.903680042,17.005,-1.903680042,17.005,-1.903680042,17.005,-1.903680042,17.005,-1.903680042,17.005,-1.903680042,17.005,-1.903680042,17.005,-1.903680042
17.505,-1.903679671,17.505,-1.903679671,17.505,-1.903679671,17.505,-1.903679671,17.505,-1.903679671,17.505,-1.903679671,17.505,-1.903679671,17.505,-1.903679671,17.505,-1.903679671,17.505,-1.903679671,17.505,-1.903679671,17.505,-1.903679671,17.505,-1.903679671,17.505,-1.903679671,17.505,-1.903679671,17.505,-1.903679671,17.505,-1.903679671,17.505,-1.903679671,17.505,-1.903679671
18.005,-1.903679301,18.005,-1.903679301,18.005,-1.903679301,18.005,-1.903679301,18.005,-1.903679301,18.005,-1.903679301,18.005,-1.903679301,18.005,-1.903679301,18.005,-1.903679301,18.005,-1.903679301,18.005,-1.903679301,18.005,-1.903679301,18.005,-1.903679301,18.005,-1.903679301,18.005,-1.903679301,18.005,-1.903679301,18.005,-1.903679301,18.005,-1.903679301,18.005,-1.903679301
18.505,-1.903678932,18.505,-1.903678932,18.505,-1.903678932,18.505,-1.903678932,18.505,-1.903678932,18.505,-1.903678932,18.505,-1.903678932,18.505,-1.903678932,18.505,-1.903678932,18.505,-1.903678932,18.505,-1.903678932,18.505,-1.903678932,18.505,-1.903678932,18.505,-1.903678932,18.505,-1.903678932,18.505,-1.903678932,18.505,-1.903678932,18.505,-1.903678932,18.505,-1.903678932
19.005,-1.903678565,19.005,-1.903678565,19.005,-1.903678565,19.005,-1.903678565,19.005,-1.903678565,19.005,-1.903678565,19.005,-1.903678565,19.005,-1.903678565,19.005,-1.903678565,19.005,-1.903678565,19.005,-1.903678565,19.005,-1.903678565,19.005,-1.903678565,19.005,-1.903678565,19.005,-1.903678565,19.005,-1.903678565,19.005,-1.903678565,19.005,-1.903678565,19.005,-1.903678565
19.505,-1.903678198,19.505,-1.903678198,19.505,-1.903678198,19.505,-1.903678198,19.505,-1.903678198,19.505,-1.903678198,19.505,-1.903678198,19.505,-1.903678198,19.505,-1.903678198,19.505,-1.903678198,19.505,-1.903678198,19.505,-1.903678198,19.505,-1.903678198,19.505,-1.903678198,19.505,-1.903678198,19.505,-1.903678198,19.505,-1.903678198,19.505,-1.903678198,19.505,-1.903678198
20.005,-1.903677834,20.005,-1.903677834,20.005,-1.903677834,20.005,-1.903677834,20.005,-1.903677834,20.005,-1.903677834,20.005,-1.903677834,20.005,-1.903677834,20.005,-1.903677834,20.005,-1.903677834,20.005,-1.903677834,20.005,-1.903677834,20.005,-1.903677834,20.005,-1.903677834,20.005,-1.903677834,20.005,-1.903677834,20.005,-1.903677834,20.005,-1.903677834,20.005,-1.903677834
