# "VAR1","VAR2","VAR3","VAR4","VAR5","VAR6","VAR7","VAR8","VAR9","VAR10","VAR11","VAR12"
3.79715,5.6098,4.02853,3.9025,4.09027,2.1951,,,,,,
3.87696,4.3903,4.08199,3.6586,4.17955,2.1951,,,,,,
3.9571,3.9025,4.15331,3.4147,4.27766,1.9512,,,,,,
4.00174,3.9025,4.18913,3.6586,4.41148,1.7073,,,,,,
4.08232,4.3903,4.26045,3.4147,4.54508,0.975599999999997,,,,,,
4.12685,4.1464,4.27831,3.4147,,,,,,,,
4.1446,3.9025,4.3051,3.4147,,,,,,,,
4.20699,3.6586,4.33177,3.1707,,,,,,,,
4.26056,3.6586,4.39427,3.1707,,,,,,,,
4.27842,3.6586,4.42095,2.9268,,,,,,,,
4.3051,3.4147,4.48345,2.9268,,,,,,,,
4.33177,3.1707,4.51884,2.1951,,,,,,,,
4.39427,3.1707,4.54519,1.2195,,,,,,,,
4.42095,2.9268,,,,,,,,,,
4.48345,2.9268,,,,,,,,,,
4.51884,2.1951,,,,,,,,,,
4.54519,1.2195,,,,,,,,,,
