# "VAR1","VAR2","VAR3","VAR4","VAR5","VAR6","VAR7","VAR8","VAR9","VAR10","VAR11","VAR12","VAR13","VAR14","VAR15","VAR16","VAR17","VAR18","VAR19","VAR20","VAR21","VAR22","VAR23","VAR24","VAR25","VAR26","VAR27","VAR28","VAR29","VAR30","VAR31","VAR32","VAR33","VAR34"
0.0600200000000002,14.4086,0.0568499999999998,27.3118,0.05531,23.871,0.05762,29.0323,0.12789,26.4516,0.24195,21.9355,0.44558,18.0645,0.47947,13.9785,0.53141,10.3226,0.61032,7.0968,0.76048,3.4409,0.92849,-0.2151,0.91793,-3.871,0.88029,-8.172,0.86916,-13.1183,0.82135,-20.2151,0.59304,-31.6129
0.0606900000000001,15.914,0.05762,29.0323,0.0560800000000001,25.5914,0.05829,30.5376,0.17263,26.6667,0.25981,21.9355,0.49022,18.0645,0.5509,13.9785,0.59391,10.3226,0.64604,7.0968,0.82307,3.6559,0.98206,-0.2151,0.98043,-3.871,0.93386,-8.172,0.93166,-13.1183,0.85706,-20.2151,0.63788,-31.182792
0.0642399999999999,23.871,0.0581900000000002,30.3226,0.0658699999999999,27.5269,0.0588600000000001,31.828,0.19951,26.8817,0.33133,22.1505,0.55272,18.0645,0.61349,14.1936,0.63855,10.3226,0.67282,7.0968,0.8945,3.6559,1.04456,-0.2151,1.04293,-3.871,0.97851,-8.172,0.9763,-13.1183,0.9018,-20,0.64671,-31.397846
0.0649099999999998,25.3763,0.0586699999999998,31.3979,0.06664,29.2473,0.07701,32.4731,0.2264,27.0968,0.40276,22.1505,0.59746,18.2796,0.68492,14.1936,0.69222,10.5376,0.69068,7.0968,0.957,3.6559,1.0892,-0.2151,1.11445,-3.6559,1.01422,-8.172,1.04782,-12.9032,0.95547,-19.7849,0.69145,-31.182792
0.06847,33.3333,0.06847,33.3333,0.0674100000000002,30.9677,0.12175,32.6882,0.27113,27.3118,0.4475,22.3656,0.6421,18.2796,0.72956,14.1936,0.73686,10.5376,0.74425,7.0968,1.01048,3.4409,1.14277,-0.2151,1.1591,-3.6559,1.07672,-8.172,1.11935,-12.6882,1.00011,-19.7849,0.73628,-30.752685
0.0690400000000002,34.6237,0.0690400000000002,34.6237,0.0681799999999999,32.6882,0.13961,32.6882,0.31587,27.5269,0.50116,22.5806,0.71363,18.4946,0.75635,14.1936,0.78141,10.3226,0.79782,7.0968,1.06405,3.4409,1.16956,-0.2151,1.21267,-3.6559,1.12146,-7.957,1.18185,-12.6882,1.03582,-19.7849,0.78093,-30.752685
0.0697100000000002,36.129,0.0697100000000002,36.129,0.0686599999999999,33.7634,0.18434,32.9032,0.3874,27.7419,0.57279,23.0108,0.74934,18.4946,0.82778,14.1936,0.844,10.5376,0.8514,7.0968,1.09976,3.4409,1.23206,-0.2151,1.284,-3.871,1.17513,-7.7419,1.21756,-12.6882,1.10735,-19.5699,0.78995,-30.53763
0.0705800000000001,38.0645,0.0705800000000001,38.0645,0.0693299999999999,35.2688,0.25616,33.7634,0.45009,28.172,0.61743,23.0108,0.78506,18.4946,0.89028,14.1936,0.88865,10.5376,0.9139,7.0968,1.14441,3.4409,1.28563,-0.2151,1.33757,-3.871,1.24656,-7.7419,1.26221,-12.6882,1.16102,-19.3548,0.81674,-30.53763
0.07144,40,0.07144,40,0.0701000000000001,36.9893,0.30099,34.1936,0.49483,28.3871,0.68886,23.0108,0.84756,18.4946,0.96171,14.1936,0.92436,10.5376,0.9764,7.0968,1.20691,3.4409,1.3392,-0.2151,1.40007,-3.871,1.27334,-7.7419,1.32471,-12.6882,1.22352,-19.3548,0.85255,-30.32258
0.0723099999999999,41.9355,0.0723099999999999,41.9355,0.0709599999999999,38.9247,0.3368,34.4086,0.53064,28.6022,0.72467,23.2258,0.90122,18.7097,1.03333,14.6237,0.98686,10.5376,1.01211,7.0968,1.25155,3.4409,1.4018,0,1.46257,-3.871,1.33584,-7.7419,1.37828,-12.6882,1.25923,-19.3548,0.87943,-30.10752
