# CRN98 con @ 1.0Hz (beat 10)
# times shifted to give profile starting at 0ms, with stimulus at 50ms
#  time (ms)  Membrane (mV)   [Ca2+]i (mM)              d              f            IK1
      65.005        -10.751    0.000670786       0.468888       0.745284         6.0963
      65.505        -10.697    0.000669674       0.470563       0.743809        5.91714
      66.005        -10.645    0.000668569       0.472232       0.742336         5.7436
      66.505        -10.592    0.000667469       0.473896       0.740865        5.57549
      67.005        -10.540    0.000666376       0.475552       0.739396        5.41263
      67.505        -10.489    0.000665288       0.477199        0.73793        5.25486
      68.005        -10.438    0.000664206       0.478837       0.736465        5.10201
      68.505        -10.388     0.00066313       0.480464       0.735002        4.95391
      69.005        -10.338     0.00066206       0.482079       0.733542        4.81043
      69.505        -10.288    0.000660995       0.483681       0.732083        4.67142
      70.005        -10.240    0.000659936       0.485269       0.730627        4.53673
      70.505        -10.192    0.000658882       0.486842       0.729173        4.40622
      71.005        -10.144    0.000657834       0.488398       0.727721        4.27978
      71.505        -10.097    0.000656791       0.489938       0.726271        4.15727
      72.005        -10.051    0.000655754        0.49146       0.724824        4.03857
      72.505        -10.006    0.000654722       0.492963       0.723379        3.92356
      73.005         -9.962    0.000653696       0.494446       0.721936        3.81214
      73.505         -9.918    0.000652674       0.495908       0.720495        3.70419
      74.005         -9.875    0.000651658       0.497349       0.719057         3.5996
      74.505         -9.833    0.000650646       0.498768       0.717621        3.49827
      75.005         -9.792     0.00064964       0.500164       0.716187        3.40011
      75.505         -9.751    0.000648639       0.501535       0.714756        3.30502
      76.005         -9.712    0.000647642       0.502883       0.713327         3.2129
      76.505         -9.673     0.00064665       0.504205         0.7119        3.12367
      77.005         -9.636    0.000645663       0.505501       0.710476        3.03724
      77.505         -9.599    0.000644681       0.506771       0.709055        2.95353
      78.005         -9.563    0.000643704       0.508013       0.707635        2.87245
      78.505         -9.529    0.000642731       0.509228       0.706219        2.79392
      79.005         -9.495    0.000641762       0.510414       0.704804        2.71788
      79.505         -9.462    0.000640798       0.511572       0.703393        2.64424
      80.005         -9.430    0.000639838         0.5127       0.701983        2.57294
      80.505         -9.399    0.000638883       0.513798       0.700577         2.5039
      81.005         -9.370    0.000637932       0.514866       0.699173        2.43705
      81.505         -9.341    0.000636985       0.515903       0.697771        2.37234
      82.005         -9.313    0.000636042       0.516909       0.696372         2.3097
      82.505         -9.287    0.000635104       0.517883       0.694976        2.24906
      83.005         -9.261    0.000634169       0.518825       0.693582        2.19037
      83.505         -9.237    0.000633238       0.519734       0.692191        2.13357
      84.005         -9.214    0.000632312       0.520611       0.690802         2.0786
      84.505         -9.192    0.000631389       0.521455       0.689416        2.02541
      85.005         -9.171     0.00063047       0.522266       0.688033        1.97395
      85.505         -9.151    0.000629554       0.523042       0.686653        1.92415
      86.005         -9.132    0.000628642       0.523785       0.685275        1.87599
